stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
14504,136014,900 E / Kingsmill Ln (NB),3153 S 900 E & Laird Ave,40.703089,-111.865403,,,,,,1
14505,126707,900 E / 2100 S (NB),900 E & 2113 S,40.725059,-111.86522,,,,,,1
14506,111018,Us Hwy 89 @ 112 N,112 N Us Hwy 89 & 100 N,40.844672,-111.908575,,,,,,1
14507,110088,Us Hwy 89 @ 226 N,226 N Us Hwy 89 & 100 N,40.845696,-111.908004,,,,,,0
14511,632002,1000 W @ 645 N,645 N 1000 W & 800 N,41.123021,-112.045379,,,,,,1
14514,136068,500 E / Bridlewood Dr (SB),4360 S 500 E & Bridlewood Dr,40.676547,-111.87706,,,,,,0
14516,137460,State St @ 4801 S,4811  & 4800 S,40.666596,-111.888092,,,,,,1
14541,152188,Murray Blvd / Allendale Dr (NB),593 W Murray Blvd & 600 W,40.657108,-111.908017,,,,,,0
14546,153191,Vine St / Commerce Dr (EB),311 W Vine St & 600 W,40.660858,-111.899186,,,,,,0
14551,125457,900 W / 400 S (SB),400 S 900 W & W 400 S,40.760322,-111.916932,,,,,,1
14553,125300,900 W / 600 S (SB),612 S 900 W & W 600 S,40.755932,-111.916931,,,,,,1
14555,125303,700 S / 800 W (EB),W 700 S & 800 W,40.754013,-111.914344,,,,,,0
14556,125308,900 W / 800 S (SB),810 S 900 W & 800 S,40.751403,-111.916942,,,,,,1
14557,125309,900 W / 900 S (SB),898 S 900 W & 900 S,40.750022,-111.916944,,,,,,1
14558,125310,900 W / Fayette Ave (SB),966 S 900 W & W Fayette Ave,40.748105,-111.91695,,,,,,1
14560,125312,900 W / Fremont Ave (SB),1122 S 900 W & Montague Ave,40.744726,-111.916986,,,,,,1
14561,125409,California Ave / 1000 W (WB),1000 W California Ave & 300 W,40.740587,-111.919065,,,,,,1
14596,126728,State St / 250 S (SB),,40.763851,-111.888426,,,,,,1
14598,126729,State St / 400 S (SB),420 S State St & 400 E,40.76001,-111.888422,,,,,,1
14603,153175,Vine St / Commerce Dr (WB),304 W Vine St & COMMERCE ST,40.660941,-111.899443,,,,,,0
14607,153178,Murray Blvd / Allendale Dr (SB),610 W Murray Blvd & 600 W,40.657003,-111.908757,,,,,,0
14644,125226,Navajo St / Arapahoe Ave (NB),639 S Navajo St & W Arapahoe Ave,40.75524,-111.92944,,,,,,1
14652,125233,Navajo St / Indiana Ave (SB),854 S Navajo St & Indiana Ave,40.750931,-111.929565,,,,,,1
14653,125235,Navajo St / 1000 S (SB),992 S Navajo St & W Mead Ave,40.748006,-111.929528,,,,,,1
14668,125253,California Ave / Concord St (EB),1245 W California Ave & Concord St,40.740369,-111.927491,,,,,,1
